Date,5Price,5Open,5High,5Low,5Vol.,5Change %
"Dec 03, 2012",124.77,124.81,124.84,124.7,58.92K,-0.06%
"Nov 30, 2012",124.84,124.77,124.84,124.71,167.42K,0.06%
"Nov 29, 2012",124.77,124.71,124.78,124.65,718.82K,0.02%
"Nov 28, 2012",124.75,124.63,124.77,124.62,1.32M,0.10%
"Nov 27, 2012",124.62,124.55,124.66,124.48,853.93K,0.05%
"Nov 26, 2012",124.56,124.45,124.62,124.41,643.48K,0.09%
"Nov 23, 2012",124.45,124.46,124.53,124.43,203.08K,-0.02%
"Nov 22, 2012",124.48,124.48,124.52,124.44,-,0.00%
"Nov 21, 2012",124.48,124.58,124.64,124.45,428.29K,-0.10%
"Nov 20, 2012",124.61,124.76,124.77,124.56,510.70K,-0.10%
"Nov 19, 2012",124.73,124.82,124.83,124.69,317.24K,-0.09%
"Nov 16, 2012",124.84,124.77,124.88,124.73,529.48K,0.06%
"Nov 15, 2012",124.77,124.73,124.81,124.7,435.52K,0.00%
"Nov 14, 2012",124.77,124.73,124.79,124.62,470.57K,0.00%
"Nov 13, 2012",124.77,124.7,124.78,124.64,409.88K,0.06%
"Nov 12, 2012",124.7,124.66,124.73,124.61,121.85K,0.02%
"Nov 09, 2012",124.67,124.65,124.75,124.58,531.96K,0.02%
"Nov 08, 2012",124.64,124.48,124.68,124.46,487.47K,0.07%
"Nov 07, 2012",124.55,124.09,124.62,124.09,740.53K,0.35%
"Nov 06, 2012",124.12,124.34,124.38,124.07,454.36K,-0.21%
"Nov 05, 2012",124.38,124.27,124.43,124.24,361.31K,0.12%
"Nov 02, 2012",124.23,124.17,124.28,123.93,447.65K,-0.01%
"Nov 01, 2012",124.24,124.23,124.27,124.12,385.27K,-0.01%
"Oct 31, 2012",124.25,124.0,124.27,123.93,501.07K,0.20%
"Oct 30, 2012",124.0,124.12,124.22,123.91,133.92K,-0.10%
"Oct 29, 2012",124.12,124.09,124.16,124.03,160.10K,0.06%
"Oct 26, 2012",124.05,123.74,124.09,123.7,470.51K,0.23%
"Oct 25, 2012",123.77,123.98,124.0,123.7,645.51K,-0.23%
"Oct 24, 2012",124.05,123.98,124.08,123.89,497.96K,0.06%
"Oct 23, 2012",123.98,123.8,124.01,123.8,546.10K,0.08%
"Oct 22, 2012",123.88,123.97,124.0,123.8,449.84K,-0.10%
"Oct 19, 2012",124.0,123.85,124.04,123.84,523.29K,0.09%
"Oct 18, 2012",123.89,123.9,124.02,123.84,601.31K,-0.03%
"Oct 17, 2012",123.93,124.32,124.34,123.91,624.80K,-0.33%
"Oct 16, 2012",124.34,124.51,124.52,124.3,443.26K,-0.13%
"Oct 15, 2012",124.5,124.49,124.52,124.39,249.92K,0.02%
"Oct 12, 2012",124.48,124.48,124.56,124.43,344.28K,0.01%
"Oct 11, 2012",124.47,124.54,124.56,124.33,452.59K,-0.01%
"Oct 10, 2012",124.48,124.48,124.55,124.37,366.18K,0.01%
"Oct 09, 2012",124.47,124.63,124.65,124.44,367.04K,-0.15%
"Oct 08, 2012",124.66,124.46,124.68,124.45,109.33K,0.16%
"Oct 05, 2012",124.46,124.62,124.66,124.42,436.80K,-0.15%
"Oct 04, 2012",124.65,124.77,124.77,124.61,350.61K,-0.09%
"Oct 03, 2012",124.76,124.7,124.77,124.66,297.25K,0.05%
"Oct 02, 2012",124.7,124.66,124.71,124.6,277.53K,0.03%
"Oct 01, 2012",124.66,124.62,124.72,124.56,429.73K,-0.17%
"Sep 28, 2012",124.87,124.95,125.02,124.85,1.90K,-0.01%
"Sep 27, 2012",124.88,124.86,124.91,124.82,3.63K,-0.02%
"Sep 26, 2012",124.91,124.84,124.91,124.73,3.84K,0.14%
"Sep 25, 2012",124.74,124.75,124.76,124.61,2.26K,0.04%
"Sep 24, 2012",124.69,124.74,124.74,124.62,1.69K,0.05%
"Sep 21, 2012",124.63,124.48,124.66,124.48,4.22K,0.09%
"Sep 20, 2012",124.52,124.69,124.7,124.51,3.07K,-0.02%
"Sep 19, 2012",124.54,124.55,124.6,124.48,6.82K,0.02%
"Sep 18, 2012",124.51,124.41,124.63,124.41,5.70K,0.06%
"Sep 17, 2012",124.44,124.43,124.55,124.41,4.39K,-0.01%
"Sep 14, 2012",124.45,124.47,124.74,124.41,6.82K,-0.22%
"Sep 13, 2012",124.72,124.62,124.86,124.29,5.87K,0.17%
"Sep 12, 2012",124.51,124.62,124.67,124.48,34.82K,-0.10%
"Sep 11, 2012",124.63,124.72,124.76,124.62,19.69K,-0.02%
"Sep 10, 2012",124.66,124.73,124.82,124.63,25.93K,-0.06%
"Sep 07, 2012",124.73,124.52,124.91,124.34,20.95K,0.14%
"Sep 06, 2012",124.55,124.83,124.85,124.52,51.97K,-0.23%
"Sep 05, 2012",124.84,124.89,124.97,124.8,41.97K,0.01%
"Sep 04, 2012",124.83,124.99,125.02,124.8,89.55K,0.10%
"Sep 03, 2012",124.71,124.72,124.73,124.57,-,-0.19%
"Aug 31, 2012",124.95,124.64,125.0,124.55,317.35K,0.23%
"Aug 30, 2012",124.66,124.5,124.7,124.48,672.75K,0.14%
